Paris;Rouen;133;1h45
Paris;Lyon;464;4h55
Paris;Angers;294;3h11
Angers;La Rochelle;187;2h20
La Rochelle;Bordeaux;183;1h38
Bordeaux;Biarritz;202;1h47
Biarritz;Toulouse;309;2h39
Pau;Toulouse;193;1h41
Toulouse;Nimes;289;2h26
Montpellier;Nimes;52;35mn
Nimes;Marseilles;126;1h13
Marseille;Avignon;99;1h
Monaco;Marseille ;224;2h3
Toulon;Monaco;169;1h35
Coordinates;;;
Paris;2.333333;48.866667;
Angers;-0.5593;47.4698;
La Rochelle;-1.150000;46.166667;
Bordeaux;-0.56667;44.833328 ;
Biarritz;-1.56667;43.48333;
Pau;-0.366667;43.300000;
Toulouse;1.433333;43.600000;
Montpellier;3.862038;43.62505 ;
Nimes;4.35;43.833328 ;
Marseille;5.400000;43.300000;
Monaco;7.424450755119324;43.738347784533;
Toulon;5.93333;43.116669 ;
Lyon;4.850000;45.750000;
Avignon;4.81667;43.950001 ;
